,TCUID,Company,Country,ISIN,GICS Sector Name,Carbon-Scope 1  (tonnes CO2e),Carbon-Scope 2  (tonnes CO2e),Carbon-Scope 3 (tonnes CO2e),Carbon Intensity-Scope 1 (tonnes CO2e/USD mn),Carbon Intensity-Scope 2 (tonnes CO2e/USD mn),Carbon Intensity-Scope 3 (tonnes CO2e/USD mn),Carbon Disclosure,Revenue (USD mn)
41023,189367,"Inmobiliaria Colonial, SOCIMI, S.A.",SPAIN,ES0139140174,Real Estate,2121.0,7609.512,11965.475,5.368,19.26,30.285,Exact Value from CDP,395.0893
41038,189373,Interpump Group S.p.A.,ITALY,IT0001078911,Industrials,13424.0,37903.0,435420.645,9.1,25.693,295.155,Value derived from data provided in Environmental/CSR,1475.227001472522
41046,189375,Intershop Holding AG,SWITZERLAND,CH0273774791,Real Estate,6161.0,939.038,3804.984,49.301,7.514,30.448,Value derived from data provided in Annual Report/Financial Accounts Disclosure,124.968097143508
41097,189387,Ion Beam Applications SA,BELGIUM,BE0003766806,Health Care,3536.78,807.915,48347.942,9.947,2.272,135.983,Estimate used instead of disclosure - data does not cover global operations,355.545088182998
41120,189393,IVF HARTMANN Holding AG,SWITZERLAND,CH0187624256,Health Care,23294.801,3196.305,25948.272,125.699,17.247,140.017,Estimated data,185.32258121651
41299,189435,Kapsch TrafficCom AG,AUSTRIA,AT000KAPSCH9,Information Technology,8502.519,15596.01,96926.674,10.464,19.195,119.291,Estimated data,812.523333275312
41314,189439,Kardex Holding AG,SWITZERLAND,CH0100837282,Industrials,6478.119,6316.12,124534.88,13.766,13.422,264.633,Estimated data,470.595365371232
41349,189447,Kaufman & Broad S.A.,FRANCE,FR0004007813,Consumer Discretionary,2302.5,54.145,274932.932,1.75,0.041,208.988,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,1315.541459306971
41380,189457,Kinepolis Group NV,BELGIUM,BE0974274061,Communication Services,1621.003,6356.365,15369.831,8.068,31.637,76.499,Estimated data,200.914246060478
41432,189467,KION Group AG,GERMANY,DE000KGX8881,Industrials,106640.54,83362.82,1661821.165,11.217,8.768,174.796,Exact Value from CDP,9507.188883065535
41487,189480,Korian,FRANCE,FR0010386334,Health Care,124070.558,41239.3,390091.234,28.1,9.34,88.349,Value derived from fuel use provided in CDP,4415.3221
41535,189491,KRUK SA,POLAND,PLKRK0000010,Financials,287.803,2217.141,8615.433,0.968,7.458,28.982,Estimated data,297.272746770009
41563,189496,Derichebourg SA,FRANCE,FR0000053381,Industrials,88593.0,18787.0,206149.438,32.131,6.814,74.766,Value derived from data provided in Annual Report/Financial Accounts Disclosure,2757.258617384251
41580,189501,Vonovia SE,GERMANY,DE000A1ML7J1,Real Estate,487059.0,417185.26,138872.82,106.012,90.804,30.227,Value summed up from data provided in Environmental/CSR,4594.373847300029
41585,189502,Deutsche Beteiligungs AG,GERMANY,DE000A1TNUT7,Financials,20.386,0.959,394.591,1.465,0.069,28.347,Derived from previous year,13.92
41590,189503,DEUTZ Aktiengesellschaft,GERMANY,DE0006305006,Industrials,11565.0,33186.533,352086.662,7.832,22.474,238.438,Value derived from data provided in Annual Report/Financial Accounts Disclosure,1476.636850024143
41613,189511,DMG MORI AKTIENGESELLSCHAFT,GERMANY,DE0005878003,Industrials,19304.0,52982.506,349840.37,9.179,25.192,166.341,Value derived from data provided in CDP,2103.147674236456
41700,189529,GRENKE AG,GERMANY,DE000A161N30,Financials,4753.321,5534.468,36699.263,7.594,8.842,58.632,Estimated data,625.929449997135
41702,189531,Groupe Flo SA,FRANCE,FR0014004X25,Consumer Discretionary,1965.579,4656.104,17379.999,24.154,57.217,213.574,Estimated data,81.376799991862
41749,189545,HIAG Immobilien Holding AG,SWITZERLAND,CH0239518779,Real Estate,1023.114,4488.233,2465.594,12.641,55.452,30.462,Estimated data,80.939211317389
41780,189551,High Co. SA,FRANCE,FR0000054231,Communication Services,104.45,169.55,6558.697,0.672,1.09,42.174,Value split from data provided in Annual Report/Financial Accounts Disclosure,155.515294831248
41834,189561,"Ibersol, S.G.P.S., S.A.",PORTUGAL,PTIBS0AM0008,Consumer Discretionary,2164.663,20460.186,60172.452,6.575,62.144,182.763,Exact Value from Annual Report/10K/Financial Accounts Disclosure,329.236989057382
41882,189571,ICON Public Limited Company,IRELAND,IE0005711209,Health Care,1127.563,8256.927,244957.815,0.403,2.952,87.57,Exact Value from CDP,2797.288
41912,189582,Inter Cars S.A.,POLAND,PLINTCS00010,Consumer Discretionary,71099.553,94233.876,141724.492,30.265,40.112,60.328,Estimated data,2349.241082851995
41980,189600,Jazz Pharmaceuticals plc,IRELAND,IE00B4Q5ZN47,Health Care,37813.857,28600.591,210106.174,15.999,12.101,88.894,Estimated data,2363.567
41995,189604,JENOPTIK AG,GERMANY,DE000A2NB601,Information Technology,13749.141,32958.501,144907.031,15.724,37.693,165.722,Derived from previous year,874.397857653715
42000,189605,Jensen-Group NV,BELGIUM,BE0003858751,Industrials,3903.238,3641.142,65613.517,13.967,13.029,234.785,Estimated data,279.462290711709
42135,189635,KUKA Aktiengesellschaft,GERMANY,DE0006204407,Industrials,34536.098,47329.574,524196.002,11.775,16.136,178.717,Estimate used instead of disclosure - data does not cover global operations,2933.100442387405
42244,190655,Expro Group Holdings N.V.,NETHERLANDS,NL0010556684,Energy,12861.356,9803.126,184930.562,19.053,14.523,273.959,Estimated data,675.030019312763
42337,190673,Homag Group AG,GERMANY,DE0005297204,Industrials,336.405,594.066,7171.084,13.878,24.508,295.84,Estimated data,24.239699194362
42392,190686,IQE plc,UNITED KINGDOM,GB0009619924,Information Technology,14383.377,27721.0,34252.869,62.997,121.414,150.023,Estimate used instead of disclosure - data does not cover global operations,228.317492754059
42425,190694,Isra Vision AG,GERMANY,DE0005488100,Information Technology,1366.495,2933.885,26639.183,9.444,20.277,184.108,Estimated data,144.69313502769
42434,190696,ITAB Shop Concept AB (publ),SWEDEN,SE0015962097,Industrials,7864.411,11892.298,139960.161,13.604,20.572,242.109,Estimated data,578.086296881116
42568,190723,Komax Holding AG,SWITZERLAND,CH0010702154,Industrials,4889.32,7042.246,76127.21,14.199,20.452,221.083,Estimated data,344.337876478723
42581,190726,Lectra SA,FRANCE,FR0000065484,Information Technology,1170.814,1391.599,9498.205,4.349,5.17,35.285,Estimate used instead of disclosure - data does not cover global operations,269.1842
42588,190729,Leifheit Aktiengesellschaft,GERMANY,DE0006464506,Consumer Discretionary,8411.158,4744.643,92809.551,27.172,15.328,299.823,Estimated data,309.547789711778
42595,190731,Leonteq AG,SWITZERLAND,CH0190891181,Financials,102.659,1817.689,7182.605,0.405,7.174,28.347,Estimated data,253.380701559815
42618,190737,"Liberbank, S.A.",SPAIN,ES0168675090,Financials,403.932,543.763,12214.605,0.738,0.993,22.309,Estimated data,547.527279061129
42776,190774,Manitou BF SA,FRANCE,FR0000038606,Industrials,23446.371,27336.341,701192.696,12.978,15.131,388.129,Estimate used instead of disclosure - data does not cover global operations,1806.594978329312
42799,190778,Manutan International S.A.,FRANCE,FR0000032302,Consumer Discretionary,1273.03,694.1,59830.026,1.459,0.796,68.576,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,872.467944525802
42804,190779,Manz AG,GERMANY,DE000A0JQ5U3,Information Technology,7194.317,9891.293,47339.178,25.276,34.751,166.315,Derived from previous year,284.635542486995
42811,190783,Marimekko Oyj,FINLAND,FI0009007660,Consumer Discretionary,4470.356,2956.138,28066.486,31.742,20.99,199.287,Estimate used instead of disclosure - data does not cover global operations,140.834395319186
42826,190786,Matas A/S,DENMARK,DK0060497295,Consumer Discretionary,5686.288,22015.29,53694.981,10.36,40.112,97.833,Estimated data,548.84449585374
42900,190803,MBB SE,GERMANY,DE000A0ETBQ4,Industrials,117648.482,24225.031,150542.676,144.153,29.683,184.458,Estimated data,816.135796535238
42916,190807,Melexis NV,BELGIUM,BE0165385973,Information Technology,36438.5,10788.373,86775.389,62.997,18.652,150.023,Estimated data,578.414017742554
42975,190822,Akwel,FRANCE,FR0000053027,Consumer Discretionary,26438.599,23804.532,395990.244,24.752,22.286,370.723,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,1068.156864498422
104,190860,Mr.Bricolage S.A.,FRANCE,FR0004034320,Consumer Discretionary,3379.888,12554.396,21612.43,10.799,40.112,69.053,Estimated data,312.982989597605
195,190887,Netia S.A.,POLAND,PLNETIA00014,Communication Services,1740.124,3972.264,16624.24,5.241,11.963,50.065,Estimated data,332.0526
206,190889,NEUCA S.A.,POLAND,PLTRFRM00018,Health Care,3601.0,13671.0,119194.818,1.517,5.76,50.218,Value derived from data provided in Environmental/CSR,2373.568699762643
214,190890,Neurones S.A.,FRANCE,FR0004050250,Information Technology,6788.586,3093.473,20178.724,11.356,5.175,33.756,Estimate used instead of disclosure - data does not cover global operations,597.789462612082
244,190899,Newron Pharmaceuticals S.p.A.,ITALY,IT0004147952,Health Care,36.575,217.154,130.39,6.103,36.236,21.758,Estimated data,5.992711004302
255,190901,Nexity SA,FRANCE,FR0010112524,Real Estate,3608.0,630.0,156562.255,0.702,0.123,30.448,Exact Value from CDP,5142.0153
413,190932,NORMA Group SE,GERMANY,DE000A1H8BV3,Industrials,5417.0,46916.0,282299.984,4.972,43.062,259.108,Value derived from data provided in CDP,1089.508663788767
535,190960,Ontex Group NV,BELGIUM,BE0974276082,Consumer Staples,10815.0,128789.624,602449.949,4.547,54.15,253.301,Value derived from data provided in CDP,2378.392820951031
733,191014,PKP Cargo S.A.,POLAND,PLPKPCR00011,Industrials,501289.4,9210.479,109828.46,479.541,8.811,105.063,Value split from data provided in Annual Report/Financial Accounts Disclosure,1045.353569249383
756,191026,POLYTEC Holding AG,AUSTRIA,AT0000A00XX9,Consumer Discretionary,14085.322,32737.39,220938.238,23.634,54.932,370.723,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,595.96593590518
781,191032,Prima Industrie SpA,ITALY,IT0003124663,Industrials,6067.434,9330.166,89102.741,15.988,24.586,234.797,Estimate used instead of disclosure - data does not cover global operations,379.488604117466
836,191045,Prothena Corporation plc,IRELAND,IE00B91XRN20,Health Care,9.63,22.3,52.632,11.29,26.143,61.702,Estimated data,0.853
843,191048,R. Stahl AG,GERMANY,DE000A1PHBB5,Industrials,9749.281,4826.834,39678.218,34.071,16.868,138.663,Estimated data,286.147968036556
868,191058,Rapala VMC Corporation,FINLAND,FI0009007355,Consumer Discretionary,6064.876,7144.614,59131.445,20.365,23.99,198.553,Value split from data provided in Environmental/CSR,297.811985883999
891,191066,"Realia Business, S.A.",SPAIN,ES0173908015,Real Estate,1509.323,6621.941,3633.316,12.648,55.493,30.448,Estimated data,119.329946123439
1022,191097,S IMMO AG,AUSTRIA,AT0000652250,Real Estate,7317.149,4646.701,7034.178,35.876,22.783,34.489,Derived from previous year,203.95493720912
1030,191098,Kontron AG,AUSTRIA,AT0000A0E9W5,Information Technology,14513.494,7928.619,60859.527,10.008,5.467,41.966,Estimated data,1450.195066355912
1052,191102,SAES Getters S.p.A.,ITALY,IT0001029492,Information Technology,3272.0,8844.0,59287.963,17.017,45.996,308.348,Value derived from data provided in Environmental/CSR,192.276216818172
1066,191104,SAF-Holland SE,LUXEMBOURG,DE000SAFH001,Consumer Discretionary,11205.0,21261.0,405420.595,10.246,19.441,370.723,Value derived from data provided in Environmental/CSR,1093.5946
1074,191105,Safilo Group S.p.A.,ITALY,IT0004604762,Consumer Discretionary,10344.961,21496.98,87914.252,11.632,24.172,98.854,Exact Value from Environmental/CSR,889.330670441942
1138,191120,Gr. Sarantis S.A.,GREECE,GRS204003008,Consumer Staples,3369.0,24975.0,83019.763,7.514,55.705,185.17,Value derived from data provided in Environmental/CSR,448.342599910331
1146,191122,Sartorius Stedim Biotech S.A.,FRANCE,FR0013154002,Health Care,11274.43,20575.44,280444.791,5.179,9.451,128.823,Value derived from data provided in Environmental/CSR,2176.9806
1222,191140,Hargreaves Services PLC,UNITED KINGDOM,GB00B0MTC970,Energy,46063.0,676.0,37015.002,164.385,2.412,132.095,Value derived from data provided in Annual Report/Financial Accounts Disclosure,280.214577095436
1248,191145,Juventus Football Club S.p.A.,ITALY,IT0000336518,Communication Services,1640.62,7354.53,31715.67,2.615,11.724,50.557,Value derived from data provided in Environmental/CSR,627.3192
1391,191176,L'Occitane International S.A.,LUXEMBOURG,LU0501835309,Consumer Staples,3570.444,18290.287,309625.472,1.954,10.011,169.474,Derived from previous year,1826.976277431873
1429,191186,MARR S.p.A.,ITALY,IT0003428445,Consumer Staples,25881.201,18307.352,119479.049,21.617,15.291,99.793,Estimate used instead of disclosure - data does not cover global operations,1197.265768577305
1686,191252,Nicox S.A.,FRANCE,FR0013018124,Health Care,205.175,308.5,1276.971,13.948,20.971,86.807,Estimated data,14.710499511077
1748,191265,NRJ Group SA,FRANCE,FR0000121691,Communication Services,1451.6,1963.5,16976.039,3.789,5.125,44.308,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,383.1335
1875,191300,Parrot S.A.,FRANCE,FR0004038263,Information Technology,2981.921,697.143,8672.216,45.66,10.675,132.792,Estimated data,65.306597829451
1877,191303,Ponsse Oyj,FINLAND,FI0009005078,Industrials,9599.791,9516.788,233317.866,13.23,13.116,321.559,Estimated data,725.584175884269
1913,191315,Prada S.p.A.,ITALY,IT0003874101,Consumer Discretionary,6388.0,54416.206,2039896.497,2.313,19.707,738.752,Value derived from data provided in Environmental/CSR,2761.273307949375
1940,191324,Recipharm AB (publ),SWEDEN,SE0005757267,Health Care,32243.0,81426.923,107635.975,26.689,67.402,89.096,Value derived from data provided in CDP,1208.08416048232
1948,191326,Recordati Industria Chimica e Farmaceutica S.p.A.,ITALY,IT0003828271,Health Care,36140.896,10438.728,147590.66,21.886,6.321,89.377,Exact Value from Annual Report/10K/Financial Accounts Disclosure,1651.320162846504
1998,191341,Reply S.p.A.,ITALY,IT0005282865,Information Technology,5413.353,3838.044,69289.454,3.799,2.694,48.628,Exact Value from Environmental/CSR,1424.882752642175
2028,191348,Webuild S.p.A.,ITALY,IT0003865570,Industrials,330596.0,30910.0,931116.32,64.839,6.062,182.616,Exact Value from CDP,5098.7568
2049,191353,Samse SA,FRANCE,FR0000060071,Consumer Discretionary,36516.79,26342.715,98483.014,21.197,15.291,57.166,Estimated data,1722.763142741734
2057,191354,Samsonite International S.A.,LUXEMBOURG,LU0633102719,Consumer Discretionary,2755.0,14218.228,378166.084,1.793,9.252,246.09,Value derived from data provided in Environmental/CSR,1536.7
2118,191368,Sectra AB (publ),SWEDEN,SE0016278196,Health Care,1656.456,1369.949,10743.247,9.371,7.75,60.776,Estimated data,176.767995273553
2187,191381,Semperit Aktiengesellschaft Holding,AUSTRIA,AT0000785555,Industrials,277548.0,128563.0,237809.476,261.531,121.144,224.085,Value derived from data provided in Environmental/CSR,1061.244535857655
2195,191383,Immsi S.p.A.,ITALY,IT0001413837,Consumer Discretionary,14818.394,38296.155,629057.952,9.444,24.406,400.892,Exact Value from Annual Report/10K/Financial Accounts Disclosure,1569.145481705149
2211,191388,Implenia AG,SWITZERLAND,CH0023868554,Industrials,88188.132,52775.974,734161.014,20.757,12.422,172.804,Estimated data,4248.515930316185
2215,191389,Impresa SGPS,PORTUGAL,PTIPR0AM0000,Communication Services,344.173,1825.36,10938.775,1.705,9.043,54.194,Estimated data,201.84654686101
2269,191399,INDUS Holding AG,GERMANY,DE0006200108,Industrials,59122.696,52293.0,525297.606,34.157,30.211,303.476,Estimated data,1730.933863810812
2342,191415,MagnaChip Semiconductor Corporation,LUXEMBOURG,US55933J2033,Information Technology,31943.329,20463.958,76070.498,62.997,40.358,150.023,Estimated data,507.059
2362,191420,Maire Tecnimont S.p.A.,ITALY,IT0004931058,Industrials,36285.186,16245.0,547553.574,12.102,5.418,182.616,Exact Value from CDP,2998.382100344884
2416,191431,Mobilezone Holding AG,SWITZERLAND,CH0276837694,Consumer Discretionary,26812.276,51008.075,68013.341,20.34,38.695,51.596,Estimated data,1318.199520193039
2545,191462,NN Group N.V.,NETHERLANDS,NL0010773842,Financials,8002.0,3845.016,548505.76,0.361,0.174,24.756,Value derived from data provided in CDP,22156.391140474505
2592,191476,Phoenix Mecano AG,SWITZERLAND,CH0002187810,Industrials,25882.55,15633.639,178117.815,33.235,20.075,228.714,Estimated data,778.778912874806
2666,191496,Rosenbauer International AG,AUSTRIA,AT0000922554,Industrials,8776.0,8572.399,317442.895,7.376,7.204,266.786,Value derived from data provided in Environmental/CSR,1189.880265070396
2715,191511,SeSa S.p.A.,ITALY,IT0004729759,Information Technology,5458.608,3024.576,81915.156,2.777,1.538,41.667,Value summed up from data provided in Environmental/CSR,1965.949814715832
2899,191553,Sioen Industries NV,BELGIUM,BE0003743573,Consumer Discretionary,88595.833,34374.568,160560.52,149.03,57.823,270.084,Estimated data,594.484125740127
2922,191557,Sixt SE,GERMANY,DE0007231326,Industrials,18826.101,15498.777,90386.471,10.724,8.829,51.487,Estimated data,1755.529283800701
2949,191565,Sogefi S.p.A.,ITALY,IT0000076536,Consumer Discretionary,66969.203,59669.351,556998.346,48.835,43.512,406.175,Exact Value from CDP,1371.325699862868
2950,191567,Solar A/S,DENMARK,DK0010274844,Industrials,2813.0,4349.335,69528.147,1.605,2.481,39.666,Exact Value from CDP,1752.84880551467
2956,191576,"Sonaecom, S.G.P.S., S.A.",PORTUGAL,PTSNC0AM0006,Communication Services,1215.082,875.1,7135.341,8.259,5.948,48.499,Estimated data,147.12345199379
2993,191586,St. Galler Kantonalbank AG,SWITZERLAND,CH0011484067,Financials,365.884,492.564,11564.16,0.706,0.95,22.309,Value split from data provided in Annual Report/Financial Accounts Disclosure,518.370691253309
3044,191597,Starrag Group Holding AG,SWITZERLAND,CH0002361068,Industrials,4330.208,8153.071,78804.984,13.6,25.606,247.497,Estimated data,318.4076
3076,191602,STEF SA,FRANCE,FR0000064271,Industrials,325881.591,41146.848,423627.204,90.915,11.479,118.184,Derived from previous year,3584.459591385946
3220,191632,Synergie SE,FRANCE,FR0000032658,Industrials,17319.301,21795.331,49494.189,6.938,8.731,19.827,Estimate used instead of disclosure - data does not cover global operations,2496.3552
3299,191649,Talanx AG,GERMANY,DE000TLX1005,Financials,31139.0,86200.721,1094393.98,0.692,1.916,24.326,Value derived from data provided in Environmental/CSR,44988.64339379671
3304,191651,Tamburi Investment Partners S.p.A.,ITALY,IT0003153621,Financials,2.033,35.994,142.229,0.405,7.174,28.347,Estimated data,5.01739983324
3312,191652,TX Group AG,SWITZERLAND,CH0011178255,Communication Services,3237.588,16791.626,107619.763,3.255,16.88,108.185,Estimated data,994.777556295359
3375,191670,Tessi SA,FRANCE,FR0004529147,Information Technology,1638.879,224.691,16876.314,3.485,0.478,35.888,Derived from previous year,470.2535
3613,191724,Trigano S.A.,FRANCE,FR0005691656,Consumer Discretionary,22997.367,32313.789,920370.012,9.462,13.295,378.665,Estimated data,2430.5656
3804,191766,Valartis Group AG,SWITZERLAND,CH0367427686,Financials,3.647,64.578,255.18,0.405,7.174,28.347,Estimated data,9.001999794234
3816,191768,Valmet Oyj,FINLAND,FI4000074984,Industrials,20864.942,62414.897,1261048.896,4.895,14.642,295.84,Exact Value from CDP,4262.597858327035
3894,191789,"Vocento, S.A.",SPAIN,ES0114820113,Communication Services,4861.7,5621.785,45660.715,12.497,14.451,117.37,Value derived from data provided in Environmental/CSR,389.033860075286
3920,191794,Von Roll Holding AG,SWITZERLAND,CH0003245351,Industrials,10807.451,5772.968,41525.998,47.81,25.539,183.705,Estimated data,226.047750952387
3935,191796,Vontobel Holding AG,SWITZERLAND,CH0012335540,Financials,781.0,9800.032,40568.642,0.579,7.27,30.096,Value derived from data provided in Annual Report/Financial Accounts Disclosure,1347.955599865205
3964,191802,VTG Aktiengesellschaft,GERMANY,DE000VTG9999,Industrials,12023.729,13822.874,89284.937,8.603,9.89,63.882,Estimated data,1397.6535
4098,191829,Worldline SA,FRANCE,FR0011981968,Information Technology,3615.0,6801.335,89104.673,1.154,2.172,28.452,Value derived from data provided in CDP,3131.755799999999
4224,191860,Ypsomed Holding AG,SWITZERLAND,CH0019396990,Health Care,8318.082,6239.613,31791.854,20.838,15.631,79.645,Derived from previous year,399.17165267996
4271,191869,"Laboratorios Farmaceuticos Rovi, S.A.",SPAIN,ES0157261019,Health Care,6043.022,216.378,30472.182,12.625,0.452,63.664,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,478.643013409223
4276,191871,LAMDA Development S.A.,GREECE,GRS245213004,Real Estate,1010.54,4433.602,2432.621,12.648,55.493,30.448,Estimated data,79.895219687447
4329,191881,Le Noble Age,FRANCE,FR0004170017,Health Care,11013.182,29636.043,54330.673,16.837,45.309,83.063,Estimated data,654.092226172319
4378,191896,Nedap N.V.,NETHERLANDS,NL0000371243,Information Technology,2027.95,5146.859,21699.317,9.369,23.778,100.249,Estimated data,216.453392805891
4384,191897,Nemetschek SE,GERMANY,DE0006452907,Information Technology,5520.439,3808.122,31638.229,8.115,5.598,46.505,Estimated data,680.31176208989
4412,191905,PSI Software AG,GERMANY,DE000A0Z1JH9,Information Technology,1720.123,1290.554,7493.447,6.93,5.199,30.188,Estimated data,248.227942845792
4451,191916,q.beyond AG,GERMANY,DE0005137004,Communication Services,1449.459,882.049,7378.516,8.869,5.397,45.146,Estimate used instead of disclosure - data does not cover global operations,163.437576622636
4609,191945,SLM Solutions Group AG,GERMANY,DE000A111338,Industrials,1210.44,1868.588,17654.33,15.899,24.543,231.885,Estimate used instead of disclosure - data does not cover global operations,76.134101251631
4653,191958,Tunnel Prado-Carenage,FRANCE,FR0004016699,Industrials,948.3,454.476,2481.218,29.811,14.287,77.999,Estimate used instead of disclosure - data does not cover global operations,31.8109
4660,191959,SII S.A.,FRANCE,FR0000074122,Information Technology,8637.057,3910.286,25249.132,11.492,5.203,33.595,Derived from previous year,751.571590716046
4703,191971,Stratec SE,GERMANY,DE000STRA555,Health Care,2586.534,2930.002,13210.38,9.074,10.279,46.345,Estimate used instead of disclosure - data does not cover global operations,285.045847139695
4714,191974,Stroeer SE & Co KGaA,GERMANY,DE0007493991,Communication Services,12359.523,20062.655,69322.257,7.519,12.206,42.174,Estimate used instead of disclosure - data does not cover global operations,1643.721545368784
4920,192020,Zeal Network SE,GERMANY,DE000ZEAL241,Consumer Discretionary,919.906,4085.707,5881.544,9.275,41.194,59.3,Estimated data,99.182902593124
4972,192030,Trakcja S.A.,POLAND,PLTRKPL00014,Industrials,17083.915,4096.928,60531.86,49.744,11.929,176.253,Derived from previous year,343.436457380435
5091,192064,VZ Holding AG,SWITZERLAND,CH0528751586,Financials,392.004,1955.52,9670.239,1.12,5.589,27.639,Estimated data,349.882699895036
5101,192066,Wacker Neuson SE,GERMANY,DE000WACK012,Industrials,13978.29,17811.676,450536.246,7.592,9.674,244.692,Exact Value from Environmental/CSR,1841.237134311519
5142,192075,Meier Tobler Group AG,SWITZERLAND,CH0208062627,Industrials,7142.78,10175.711,125576.785,13.759,19.601,241.893,Estimated data,519.142837724862
5148,192076,Warsaw Stock Exchange,POLAND,PLGPW0000017,Financials,57.452,743.025,2958.786,0.555,7.174,28.569,Estimated data,103.564796998946
5159,192079,Warteck Invest AG,SWITZERLAND,CH0002619481,Real Estate,1810.92,481.136,1153.174,47.814,12.704,30.448,Derived from previous year,37.874
5273,192104,Zignago Vetro S.p.A.,ITALY,IT0004171440,Materials,233591.0,72431.0,78928.246,668.223,207.2,225.786,Value derived from data provided in CDP,349.570588381568
5286,192106,zooplus SE,GERMANY,DE0005111702,Consumer Discretionary,18185.369,82552.586,141131.932,8.836,40.112,68.576,Estimated data,2058.048363070467
5293,192108,Züblin Immobilien Holding AG,SWITZERLAND,CH0312309682,Real Estate,120.765,529.839,290.711,12.648,55.493,30.448,Estimated data,9.547900206797
5302,192109,Zug Estates Holding AG,SWITZERLAND,CH0148052126,Real Estate,394.0,60.0,4860.037,2.635,0.401,32.502,Value derived from data provided in Environmental/CSR,149.529799985047
5355,192119,Orascom Development Holding AG,SWITZERLAND,CH0038285679,Consumer Discretionary,5982.74,22877.066,19303.691,14.564,55.69,46.991,Estimated data,410.794341088503
5466,192146,Siegfried Holding AG,SWITZERLAND,CH0014284498,Health Care,42367.908,58563.433,80444.301,47.073,65.067,89.377,Value derived from fuel use provided in Environmental/CSR,900.052179426815
5488,192153,SHW AG,GERMANY,DE000A3E5B74,Consumer Discretionary,5350.399,9980.303,166023.112,11.947,22.286,370.723,Estimated data,447.8361
5519,192165,SF Urban Properties AG,SWITZERLAND,CH0032816131,Real Estate,602.682,2644.183,1450.806,12.648,55.493,30.448,Estimate used instead of disclosure - data does not cover global operations,47.649198910846
5527,192167,Suess MicroTec AG,GERMANY,DE000A1K0235,Information Technology,5315.23,5454.954,47620.743,18.498,18.984,165.728,Estimated data,287.342390449803
5549,192170,Swissquote Group Holding Ltd,SWITZERLAND,CH0010675863,Financials,144.867,2565.036,10135.748,0.405,7.174,28.347,Estimate used instead of disclosure - data does not cover global operations,357.558691827006
5568,192175,Sword Group S.E.,LUXEMBOURG,FR0004180578,Information Technology,2610.899,1259.256,8178.708,10.779,5.199,33.764,Estimated data,242.231812506199
5692,192207,VIB Vermoegen AG,GERMANY,DE000A2YPDD0,Real Estate,1359.832,5966.072,3273.455,12.648,55.493,30.448,Estimated data,107.510928289827
5700,192208,Viel Et Compagnie,FRANCE,FR0000050049,Financials,404.095,7154.949,28272.807,0.405,7.174,28.347,Estimated data,997.379566850797
5714,192212,Cimpress plc,IRELAND,IE00BKYC3F77,Industrials,23146.158,34945.431,247887.152,9.328,14.083,99.9,Estimated data,2481.355
5816,192232,Zalando SE,GERMANY,DE000ZAL1111,Consumer Discretionary,8191.0,76779.698,621336.374,0.9,8.44,68.299,Value derived from data provided in Environmental/CSR,9097.341260337076
5935,192265,Schaffner Holding AG,SWITZERLAND,CH0009062099,Information Technology,7038.345,9982.289,40787.674,39.371,55.839,228.158,Value split from data provided in Environmental/CSR,178.769598205309
5940,192266,Schaltbau Holding AG,GERMANY,DE000A2NBTL2,Industrials,5419.63,6044.37,161834.924,9.426,10.512,281.455,Value split from data provided in Environmental/CSR,574.994707605353
5951,192268,Aktieselskabet Schouw & Co.,DENMARK,DK0010253921,Consumer Staples,198806.912,136730.374,2574079.718,61.127,42.04,791.449,Derived from previous year,3252.363889161867
5959,192269,Schweiter Technologies AG,SWITZERLAND,CH0010754924,Industrials,36140.458,24417.161,594713.282,29.248,19.76,481.291,Estimated data,1235.661771755528
5967,192270,Schweizerische Nationalbank,SWITZERLAND,CH0001319265,Financials,16696.589,22476.548,504893.081,0.738,0.993,22.309,Estimate used instead of disclosure - data does not cover global operations,22632.1474826796
5996,192283,Tinexta S.p.A.,ITALY,IT0005037210,Industrials,2269.72,1944.833,12412.979,7.382,6.325,40.37,Estimated data,307.480772606699
6153,192320,Spar Nord Bank A/S,DENMARK,DK0060036564,Financials,123.0,2077.014,10318.277,0.267,4.503,22.37,Value derived from data provided in Environmental/CSR,461.25990004237
6303,192355,u-blox Holding AG,SWITZERLAND,CH0033361673,Information Technology,22377.604,14335.836,53290.483,62.997,40.358,150.023,Estimated data,355.215491880566
6363,192372,Kambi Group plc,MALTA,MT0000780107,Consumer Discretionary,1244.029,5525.281,7953.87,9.275,41.194,59.3,Estimated data,134.1294
6432,203149,Aker Solutions ASA,NORWAY,NO0010716582,Energy,12002.0,13202.631,593187.005,3.974,4.371,196.403,Value derived from data provided in CDP,3020.25470890328
6481,203460,HELLA GmbH & Co. KGaA,GERMANY,DE000A13SX22,Consumer Discretionary,359812.193,237883.911,984579.842,55.812,36.899,152.724,Estimate used instead of disclosure - data does not cover global operations,6446.806280213681
